"name","region","difficulty","distanceKm"
"Trilha para a base das vias de escalada da face oeste do Pão de Açúcar","Rio de Janeiro","easy",""
"Caminho do Pico da Tijuca","Rio de Janeiro","moderate",""
"Caminho do Tijuca Mirim","Rio de Janeiro","easy",""
"Trilha da Pedra da Gávea","Rio de Janeiro","hard",""
"Variante da Trilha do Bosque da Freguesia","Rio de Janeiro","easy",""
"Caminho da Lagartixa ou do Bexiga","Rio de Janeiro","easy",""
"Caminho do Pico da Tijuca","Rio de Janeiro","moderate",""
"Caminho das Almas","Rio de Janeiro","easy",""
"Caminho do Mesquita","Rio de Janeiro","easy",""
"Caminho das Almas","Rio de Janeiro","easy",""
"Caminho da Caveira","Rio de Janeiro","easy",""
"Caminho da Serrilha da Caveira","Rio de Janeiro","moderate",""
"Caminho do Andarai Maior","Rio de Janeiro","moderate",""
"Caminho da Cachoeira","Rio de Janeiro","easy",""
"Caminho da Cachoeira","Rio de Janeiro","easy",""
"Trilha de acesso ao Campo Escola 2000","Rio de Janeiro","moderate",""
"Trilha Transcarioca","Rio de Janeiro","easy",""
"Trilha Transcarioca","Rio de Janeiro","easy",""
"Caminho da Pedra Bonita","Rio de Janeiro","easy",""
"Trilha do Corcovado","Rio de Janeiro","hard",""
"Trilha Transcarioca","Rio de Janeiro","easy",""
"Trilha para Cachoeira dos Primatas","Rio de Janeiro","easy",""
"Caminho da Cachoeira","Rio de Janeiro","easy",""
"Caminho da Cachoeira","Rio de Janeiro","easy",""
"Caminho da Lagartixa ou do Bexiga","Rio de Janeiro","easy",""
"Caminho da Lagartixa ou do Bexiga","Rio de Janeiro","easy",""
"Caminho das Almas","Rio de Janeiro","easy",""
"Caminho das Almas","Rio de Janeiro","easy",""
"Trilha da Pedra Branca","Rio de Janeiro","moderate",""
"Trilha da Pedra do Quilombo","Rio de Janeiro","hard",""
"Trilha do Morro da Urca","Rio de Janeiro","easy",""
"Escalada do Costão","Rio de Janeiro","hard",""
"Trilha da Pedra Branca","Rio de Janeiro","moderate",""
"Trilha da Pedra do Quilombo","Rio de Janeiro","hard",""
"Trilha da Pedra do Quilombo","Rio de Janeiro","hard",""
"Trilha de ligação entre Pedra do Quilombo e Colônia Juliano Moreira","Rio de Janeiro","moderate",""
"Parte do Circuito da Pedreira","Rio de Janeiro","easy",""
"Parte do Circuito da Pedreira","Rio de Janeiro","easy",""
"Parte do Circuito da Pedreira","Rio de Janeiro","easy",""
"Trilha de acesso a Pedra do Osso","Rio de Janeiro","moderate",""
"Trilha da Pedra da Rosilha","Rio de Janeiro","moderate",""
"Trilha da Pedra da Rosilha","Rio de Janeiro","moderate",""
"Trilha da Rosilha para o Camorim","Rio de Janeiro","moderate",""
"Caminho do Nogueira","Rio de Janeiro","moderate",""
"Trilha da Represa dos Ciganos","Rio de Janeiro","moderate",""
"Trilha da Represa dos Ciganos","Rio de Janeiro","moderate",""
"Trilha para o Alto dos Ciganos via Tirol","Rio de Janeiro","moderate",""
"Trilha da Serrilha do Papagaio","Rio de Janeiro","moderate",""
"Trilha de ligação com Estrada do Açude","Rio de Janeiro","moderate",""
"Trilha de acesso ao Escragnolle e ao Taunay","Rio de Janeiro","moderate",""
"Trilha para Lagoa Azul e Escragnolle","Rio de Janeiro","moderate",""
"Trilha de ligação entre o Grajaú e o Pico da Tijuca","Rio de Janeiro","moderate",""
"Trilha de acesso ao Mirante da Torre","Rio de Janeiro","moderate",""
"Trilha de acesso ao Mirante da Freira","Rio de Janeiro","moderate",""
"Trilha das Ruínas Von Mocke e Represas da Cedae","Rio de Janeiro","moderate",""
"Trilha de ligação da Pedra Bonita com a Pedra da Gávea via Chaminé Ely","Rio de Janeiro","moderate",""
"Trilha de acesso a Pedra da Gavea via Pico dos Quatro","Rio de Janeiro","moderate",""
"Trilha de acesso a Pedra da Gavea via Pico dos Quatro","Rio de Janeiro","moderate",""
"Trilha de ligação da Estrada de Jacarepagua com o Morro da Taquara","Rio de Janeiro","moderate",""
"Picada Costa Leite","Rio de Janeiro","moderate",""
"Trilha de acesso a Pedra da Caixa","Rio de Janeiro","moderate",""
"Trilha de acesso ao Pico da Tijuca via Vale do Sombrio","Rio de Janeiro","moderate",""
"Circuito Eduardo Viana","Rio de Janeiro","moderate",""
"Trilha de acesso ao Morro dos Cabritos","Rio de Janeiro","moderate",""
"Trilha acesso Pedra Bonita e Pedra da Gavea","Rio de Janeiro","moderate",""
"Trilha de ligação","Rio de Janeiro","moderate",""
"Trilha do Corcovado","Rio de Janeiro","hard",""
"Trilha Transcarioca","Rio de Janeiro","moderate",""
"Trilha para as vias de escalada do Morro da Babilônia","Rio de Janeiro","easy",""
"Trilha alternativa de acesso a Pedra do Quilombo","Rio de Janeiro","moderate",""
"Trilha acesso Pedra Bonita e Pedra da Gavea","Rio de Janeiro","moderate",""
"Trilha de acesso a Pedra Negra","Rio de Janeiro","moderate",""
"Velha (Old) Trilha do Corcovado","Rio de Janeiro","hard",""
"Trilha de acesso ao Cochrane","Rio de Janeiro","moderate",""
"Escalada do Costão","Rio de Janeiro","hard",""
"Trilha de acesso ao Cochrane","Rio de Janeiro","moderate",""
"Trilha alternativa para Lagoa Azul","Rio de Janeiro","moderate",""
"Trilha alternativa para Lagoa Azul","Rio de Janeiro","moderate",""
"Trilha alternativa para Lagoa Azul","Rio de Janeiro","moderate",""
"Trilha de acesso a Pedra Bonita via Chapecó","Rio de Janeiro","moderate",""
"Trilha de acesso a Pedra Bonita via Grotão","Rio de Janeiro","hard",""
"Trilha acesso Pedra Bonita e Pedra da Gavea","Rio de Janeiro","moderate",""
"Trilha da Pedra da Gávea","Rio de Janeiro","hard",""
"Trilha do Grotão","Rio de Janeiro","hard",""
"Caminho da Lagartixa ou do Bexiga","Rio de Janeiro","easy",""
"Trilha de ligação da Represa dos Ciganos com o Pico da Tijuca","Rio de Janeiro","moderate",""
"Trilha no Parque da Chacrinha e Morro São João","Rio de Janeiro","moderate",""
"Trilha no Parque da Chacrinha e Morro São João","Rio de Janeiro","moderate",""
"Trilha no Parque da Chacrinha e Morro São João","Rio de Janeiro","moderate",""
"Trilha no Parque da Chacrinha e Morro São João","Rio de Janeiro","moderate",""
"Trilha no Parque da Chacrinha e Morro São João","Rio de Janeiro","moderate",""
"Trilha Vista - Corrida","Rio de Janeiro","easy",""
